Business Name,Phone,Website,Address,Status,Search Term,Search State(s),Timestamp
Summit Dental,(330) 836-9818,http://www.summitdentalohio.com/?utm_source=gmb_auth,"1690 Brittain Rd, Akron, OH 44310, United States",New,dentist,Ohio,2025-05-19 12:49:51
Dental Arts of Ellet,(330) 850-3058,https://www.cristianchirladmd.com/,"737 Canton Rd, Akron, OH 44312, United States",New,dentist,Ohio,2025-05-19 12:49:51
Alpha Dental Akron,(330) 482-8148,https://alphadental.net/locations-akron/?utm_source=GMBListing&utm_medium=Organic&utm_campaign=Akron,"3235 Manchester Rd STE 2, Akron, OH 44319, United States",New,dentist,Ohio,2025-05-19 12:49:51
2K Dental,(330) 773-0331,https://www.2kdental.com/,"475 E Waterloo Rd, Akron, OH 44319, United States",New,dentist,Ohio,2025-05-19 12:49:51
Great Expressions Dental Centers - Green,(330) 248-5314,https://www.greatexpressions.com/dental-offices/dentist-in-akron-ohio-arlington-ridge/,"790 Arlington Ridge, New Franklin, OH 44319, United States",New,dentist,Ohio,2025-05-19 12:49:51
"DiPiero Family Dental, LLC",(330) 867-9494,https://www.dipierofamilydental.com/,"1376 N Portage Path, Akron, OH 44313, United States",New,dentist,Ohio,2025-05-19 12:49:52
Refresh Dental,(330) 821-0441,http://www.gorefreshdental.com/locations/refresh-dental-alliance/?y_source=1_NTkxODkwMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"1237 W State St, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:54
Penturf Dentistry,(330) 821-7244,https://www.penturfdentistry.com/,"800 S Sawburg Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:55
Lohnes Dental,(330) 823-5830,http://www.lohnesdental.com/,"2155 Parkway Blvd, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:55
Walton Dental Group (Formerly Utterback Dental),(330) 821-6603,https://waltondentalgroup.com/,"1360 S Sawburg Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:55
DellaGatta Dental,(330) 821-3732,,"888 S Sawburg Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:55
"Aspen Dental - Alliance, OH",(330) 248-5100,"https://www.aspendental.com/dentist/oh/alliance/1630-state-street-ste-e?utm_source=googleplaces&utm_medium=lociqgoogleplaces&utm_campaign=Alliance,OH-Alliance_OH-1454&utm_content=listing","1630 State St STE E, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:55
Sigworth Kristine L DDS,(330) 823-6189,http://www.sigworthdentistry.com/,"2825 S Union Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:55
Penturf Barry w DDS,(330) 821-7244,http://www.penturfdentistry.com/,"800 S Sawburg Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:55
Albrecht Dental,(330) 821-7411,http://albrechtdds.com/,"2460 S Union Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:55
Dietrich Orthodontics,(330) 821-4187,https://dietrichorthodontics.com/?utm_source=google.com&utm_medium=business+profile,"1455 S Sawburg Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:56
"Dr. James A. Lucido, DDS",(330) 821-0441,http://www.gorefreshdental.com/dentists/alliance/,"1237 State Street Northeast, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:56
Shealy Stephanie P DDS,(330) 821-7244,,"800 S Sawburg Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:56
Paulus Orthodontics,(330) 821-4046,http://www.paulusortho.com/,"1604 S Union Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:56
"Dr. Benjamin M. Utterback, DDS",(330) 821-6603,,"1360 S Sawburg Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:56
ONE Health Ohio at Alliance,(330) 821-3961,http://www.onehealthohio.org/,"1390 S Arch Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:56
Beres John M DDS,(330) 821-6603,http://www.utterbackdental.com/,"1360 S Sawburg Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:56
"Dr. Timothy J. Yannone, DDS",(330) 823-5294,,"2720 S Union Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:56
Kesterke Ann P DDS,(330) 821-7244,https://www.penturfdentistry.com/,"800 S Sawburg Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:56
Sebring Dental,(330) 938-3384,http://www.sebringdental.com/,"395 N 15th St, Sebring, OH 44672, United States",New,dentist,Ohio,2025-05-19 12:49:57
Dr. Geoffrey Utterback,(330) 821-6603,http://www.utterbackdental.com/,"1360 S Sawburg Ave, Alliance, OH 44601, United States",New,dentist,Ohio,2025-05-19 12:49:57
Amherst Dental Associates,(440) 988-5711,http://www.amherstdentalassociates.com/,"255 S Main St, Amherst, OH 44001, United States",New,dentist,Ohio,2025-05-19 12:50:00
Amherst Family Dentistry,(440) 988-4166,http://www.amherstfamdentistry.com/,"401 N Leavitt Rd, Amherst, OH 44001, United States",New,dentist,Ohio,2025-05-19 12:50:00
Amherst Neighborhood Dentistry,(440) 960-0090,https://www.andentistry.com/,"2266 Kresge Dr, Amherst, OH 44001, United States",New,dentist,Ohio,2025-05-19 12:50:00
"Gregory Sy DDS, & Associates, Inc.",(440) 737-2672,https://gregorysydds.com/,"1755 Cooper Foster Park Rd, Amherst, OH 44001, United States",New,dentist,Ohio,2025-05-19 12:50:00
"Matthew J. Elbert, D.D.S. Amherst Dental Professionals",(440) 282-5501,http://www.amherstdentalpros.com/,"1495 Cooper Foster Park Rd, Amherst, OH 44001, United States",New,dentist,Ohio,2025-05-19 12:50:00
Amherst Oral Surgery and Implant Center,(440) 988-3400,http://www.cleoms.com/,"550 N Leavitt Rd, Amherst, OH 44001, United States",New,dentist,Ohio,2025-05-19 12:50:00
"Dr. Scott A. Iliff, DDS",(440) 984-2521,http://amherstdentistoh.com/,"154 Park Ave, Amherst, OH 44001, United States",New,dentist,Ohio,2025-05-19 12:50:00
Jacko Anne DDS,(440) 988-2615,http://annejackodds.com/,"199 N Leavitt Rd #100, Amherst, OH 44001, United States",New,dentist,Ohio,2025-05-19 12:50:01
Musengo Michael A DDS,(440) 988-4520,,"221 Church St, Amherst, OH 44001, United States",New,dentist,Ohio,2025-05-19 12:50:01
"CLE Oral and Maxillofacial, Inc. - Amherst",(440) 988-3400,http://www.cleoms.com/,"550 N Leavitt Rd, Amherst, OH 44001, United States",New,dentist,Ohio,2025-05-19 12:50:01
"Patrick J. Elbert, DDS",(440) 282-5501,https://www.amherstdentalpros.com/,"1495 Cooper Foster Park Rd, Amherst, OH 44001, United States",New,dentist,Ohio,2025-05-19 12:50:01
Bright Now! Dental & Orthodontics,(440) 597-5766,https://www.brightnow.com/dental-office/lorain/24210/?utm_source=generic&utm_medium=profiles&utm_campaign=local_profiles,"4785 N Leavitt Rd, Lorain, OH 44053, United States",New,dentist,Ohio,2025-05-19 12:50:01
Douglas D. Means DMD,(440) 282-3642,http://www.douglasdmeansdmd.com/,"1710 Cooper Foster Park Rd # A, Lorain, OH 44053, United States",New,dentist,Ohio,2025-05-19 12:50:01
Oberlin Ave Dental,(440) 960-1059,http://www.oberlinavedental.com/,"4800 Oberlin Ave, Lorain, OH 44053, United States",New,dentist,Ohio,2025-05-19 12:50:01
Team Leatherman Care Dentistry,(440) 233-8521,https://loraincosmeticdentist.com/,"6100 S Broadway, Lorain, OH 44053, United States",New,dentist,Ohio,2025-05-19 12:50:02
"C.R. Sfeir D.D.S., General Dentistry",(440) 960-5200,http://www.fixyourtooth.com/,"1300 Cooper Foster Park Rd, Lorain, OH 44053, United States",New,dentist,Ohio,2025-05-19 12:50:02
Whispering Pines Dental,(440) 282-2023,http://www.whisperingpinesdental.com/,"690 Cooper Foster Park Rd, Lorain, OH 44053, United States",New,dentist,Ohio,2025-05-19 12:50:02
Jennifer G. Robb DMD,(440) 960-1940,http://www.drjrobb.com/,"1320 Cooper Foster Park Rd, Lorain, OH 44053, United States",New,dentist,Ohio,2025-05-19 12:50:02
Hudec Dental,(440) 984-3840,https://hudecdental.com/,"211 N Leavitt Rd, Amherst, OH 44001, United States",New,dentist,Ohio,2025-05-19 12:50:02
Lorain Family Dental,(440) 434-2990,,"4560 Oberlin Ave, Lorain, OH 44053, United States",New,dentist,Ohio,2025-05-19 12:50:02
Alpha Dental Ashland,(419) 263-6819,https://alphadental.net/locations-ashland/?utm_source=GMBListing&utm_medium=Organic&utm_campaign=Ashland,"1445 Claremont Ave, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:05
Stonecreek Dental,(877) 959-5405,https://helpmysmile.com/ashland?y_source=1_MTQwNDUxMzAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"1860 E Main St, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:05
Priest Dental,(419) 289-1813,https://www.priestdental.com/,"910 Katherine Ave, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:05
Ashland Dental Clinic,(419) 289-4957,https://www.knohoco.org/kno-ho-co-dental-clinics,"1797 Seddon Ct, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:05
Ashland Dental Associates,(419) 281-7771,http://www.ashland-dental-associates.com/,"926 Katherine Ave, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:06
Ashland Dental Arts,(419) 496-0132,http://www.ashlanddentalartsohio.com/,"926 Katherine Ave Suite 2, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:06
Ninth Street Dental,(567) 217-7040,https://thirdstreetfamily.org/campuses/ninth-street-dental,"431 E 9th St, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:06
Garrison Dental,(419) 281-2323,http://briangarrisondds.com/,"910 Katherine Ave ste b, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:06
Gregg Orthodontics,(419) 289-1091,http://www.greggorthodontics.com/,"910 Katherine Ave, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:06
"Dr. Bradford R. Hendrickson, DDS",(419) 281-2323,,"910 Katherine Ave ste b, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:06
Kno-Ho-Co-Ashland Health Services,(419) 289-1700,http://www.knohoco.org/,"1797 Seddon Ct, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:06
Ashland Family Dental: Gerbasi Jennifer DDS,(419) 281-0734,,"202 Maple St, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:06
Ashland Family Dental,(419) 281-0734,,"202 Maple St, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:07
Hendrickson & Matz DDS,(419) 289-3325,,"910 Katherine Ave ste b, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:07
Mitchell B. Schwartz DMD,,,"1590 Crestview Dr #2, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:07
Kno-Ho-Co-Ashland Community Action Commission,(419) 281-4327,https://knohoco.org/,"1797 Seddon Ct, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:07
Ashland Family Dental: Snyder Nancy F DDS,(419) 281-0734,,"202 Maple St, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:07
Ashland Family Dental: Schlesinger Alan DDS,(419) 281-0734,,"202 Maple St, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:07
Castor Thomas R DDS,(419) 281-8011,,"535 Claremont Ave, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:07
Farrar Edwin L DDS,(419) 281-9019,,"1011 E Main St D, Ashland, OH 44805, United States",New,dentist,Ohio,2025-05-19 12:50:07
Cleveland Dental Institute - Ashtabula,(440) 381-8800,http://www.cdiohio.org/,"2203 Lake Ave, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:10
Ashtabula Dental Associates,(440) 992-3146,https://www.ashtabuladentalonline.com/,"5005 State Rd, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:10
The Healthy Smile Center,(440) 992-2700,https://www.thehealthysmilecenter.com/,"2010 W 19th St, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:11
"Aspen Dental - Ashtabula, OH",(440) 969-1247,"https://www.aspendental.com/dentist/oh/ashtabula/3228-n-ridge-road-e?utm_source=googleplaces&utm_medium=lociqgoogleplaces&utm_campaign=Ashtabula,OH-Ashtabula_OH-2352&utm_content=listing","3228 N Ridge Rd E, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:11
"Dr. Martin B. Crombie, DDS",(440) 992-2700,https://www.thehealthysmilecenter.com/,"2010 W 19th St, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:11
Cooper Owens DDS,(440) 466-4884,https://www.cooperowensdds.com/,"220 E Main St, Geneva, OH 44041, United States",New,dentist,Ohio,2025-05-19 12:50:11
J. Jeffrey Arnold Orthodontics,(440) 992-8800,http://www.jeffarnoldbraces.com/,"4430 Main Ave #1176, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:11
"Dr. Debra A. Balogh-Crombie, DDS",(440) 992-2700,https://www.thehealthysmilecenter.com/,"2010 W 19th St, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:11
Fortney Dental Group,(440) 466-2721,http://fortneydental.com/,"299 S Broadway, Geneva, OH 44041, United States",New,dentist,Ohio,2025-05-19 12:50:11
Geneva Family Dental,(440) 466-7077,http://www.genevadentalohio.com/,"460 W Main St, Geneva, OH 44041, United States",New,dentist,Ohio,2025-05-19 12:50:11
Dental Specialists-Ashtabula,(440) 992-8800,,"4430 Main Ave #1176, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:11
ARMC Health & Wellness Plaza,,https://www.acmchealth.org/services/family-health-centers/ashtabula-family-health-center/,"2255 Lake Ave, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:12
"Dr. Michael C. Sivik, DMD",(440) 992-3146,https://www.ashtabuladentalonline.com/dr-sivik,"5005 State Rd, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:12
"Dr. Julius C. Bader, DDS",(440) 992-3146,http://www.ashtabuladentalonline.com/,"5005 State Rd, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:12
Jeffrey Morrison,(440) 969-1247,https://www.aspendental.com/dentist/oh/ashtabula/3228-n-ridge-road-e/?utm_medium=googleplaces&utm_source=dentistprofile&utm_campaign=1013057199-2352,"3228 N Ridge Rd E, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:12
Ashtabula Sleep Medicine,(440) 992-3146,http://www.ashtabulasleepmedicine.com/,"5005 State Rd, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:12
Seymour Gregory C DDS,(440) 992-3146,http://www.ashtabuladental.com/,"5005 State Rd, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:12
Aurora Dental,(330) 562-3400,https://www.myauroradentist.com/?utm_source=gmb&utm_medium=organic,"258 E Garfield Rd, Aurora, OH 44202, United States",New,dentist,Ohio,2025-05-19 12:50:12
Andrei Popa,(440) 969-1247,https://www.aspendental.com/dentist/oh/ashtabula/3228-n-ridge-road-e/,"3228 N Ridge Rd E, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:12
Coliadis Jason E DDS,(440) 992-3146,,"5005 State Rd, Ashtabula, OH 44004, United States",New,dentist,Ohio,2025-05-19 12:50:13
